a	a:
tindur	t_h I n t Y r
tinna	t_h I n a
tinnu	t_h I n Y
tinto	t_h I n_0 t ou
tipla	t_h I h p l a
tippinu	t_h I h p I n Y
tips	t_h I p s
titil	t_h I: t I l
titilinn	t_h I: t I l I n
titill	t_h I: t I t l_0
titillinn	t_h I: t I t l I n
titilslagnum	t_h I: t I l s t l a k n Y m
titla	t_h I h t l a
title	t_h ai t u l
titli	t_h I h t l I
titlinum	t_h I h t l I n Y m
tjakkur	t_h j a h k Y r
tjald	t_h j a l t
tjaldi	t_h j a l t I
tjaldinu	t_h j a l t I n Y
tjaldið	t_h j a l t I D
tjaldsins	t_h j a l t s I n s
tjaldsvæði	t_h j a l t s v ai D I
tjaldvagninum	t_h j a l t v a k n I n Y m
tjara	t_h j a: r a
tjatjatja	t_h j a t_h j a t_h j a
tjá	t_h j au:
tjáir	t_h j au: I r
tjáningarfrelsi	t_h j au: n i N k a r_0 f r E l s I
tjáð	t_h j au: D
tjáði	t_h j au: D I
tjón	t_h j ou: n
tjóni	t_h j ou: n I
tjónið	t_h j ou: n I D
tjóns	t_h j ou n s
tjónþola	t_h j ou n T O l a
tjónþoli	t_h j ou n T O l I
tjöldin	t_h j 9 l t I n
tjöldum	t_h j 9 l t Y m
tjörn	t_h j 9 r t n_0
tjörnina	t_h j 9 r t n I n a
tobba	t_h O p a
tobbi	t_h O p I
tobias	t_h O p i j a s
toffí	t_h O f i
toga	t_h O: G a
togara	t_h O: G a r a
togaranum	t_h O: G a r a n Y m
togarar	t_h O: G a r a r
togarinn	t_h O: G a r I n
togi	t_h Oi j I
togurum	t_h O: G Y r Y m
tolerance	t_h O l E r a n s
toll	t_h O t l_0
tolla	t_h O l a
tollar	t_h O t l a r
tollskrifstofunni	t_h O t l_0 s k r I f s t O v Y n I
tollstjóra	t_h O t l_0 s t j ou r a
tollstjóri	t_h O t l_0 s t j ou r I
tollstjórn	t_h O t l_0 s t j ou r t n_0
tollum	t_h O t l Y m
tollur	t_h O t l Y r
tom	t_h O: m
tomas	t_h O m a s
tomma	t_h O m a
tommu	t_h O m Y
tommy	t_h O m i
toni	t_h O: n I
tonic	t_h O n I k
tonn	t_h O n
tonna	t_h O n a
tonnum	t_h O n Y m
tony	t_h ou: n i
too	t_h u:
top	t_h O h p
topp	t_h O h p
toppa	t_h O h p a
toppbaráttunni	t_h O h p a r au h t Y n I
toppbílanna	t_h O h p i l a n a
toppbíll	t_h O h p i t l_0
toppbúnaður	t_h O h p u n a D Y r
toppgrind	t_h O h p k r I n t
topphlöðnu	t_h O h p l_0 9 D n Y
toppi	t_h O h p I
toppinn	t_h O h p I n
topplið	t_h O h p l I D
toppliði	t_h O h p l I D I
topplúgu	t_h O h p l u G Y
toppnum	t_h O h p n Y m
toppsæti	t_h O h p s ai t I
toppsætinu	t_h O h p s ai t I n Y
toppsætið	t_h O h p s ai t I D
torf	t_h O r f
torfa	t_h O r v a
torfason	t_h O r v a s O n
torfi	t_h O r v I
torg	t_h O r k
torginu	t_h O r c I n Y
torgsins	t_h O r k s I n s
torino	t_h O r i n ou
toro	t_h O r ou
toronto	t_h O r O n_0 t O
torres	t_h O r E s
tortryggni	t_h O r_0 t_h r I k n I
tot	t_h O t
totally	t_h ou: t_h a l i
tottenham	t_h O h t E n h a m
touch	t_h 9 t s
tour	t_h u: r
toure	t_h u: r E
touring	t_h u: r i N
tourism	t_h u: r I s m
tourist	t_h u: r I s t
tournament	t_h 9 r n a m E n_0 t
tournaments	t_h 9 r n a m E n_0 t s
tours	t_h u: r_0 s
tower	t_h au: E r
toyota	t_h Oi ou t a
track	t_h r a h k
trade	t_h r ei: t
trading	t_h r ei: t i N
traffic	t_h r a f I k
traffik	t_h r a f I k
trafford	t_h r a f O r t
trailer	t_h r ei: l E r
train	t_h r ei: n
training	t_h r ei: n i N
transfer	t_h r a n s f E r
transit	t_h r a n s I t
translate	t_h r a n s l ei t
transport	t_h r a n s p O r_0 t
traust	t_h r 9i s t
trausta	t_h r 9i s t a
traustan	t_h r 9i s t a n
traustason	t_h r 9i s t a s O n
trausti	t_h r 9i s t I
traustið	t_h r 9i s t I D
trausts	t_h r 9i s t s
traustum	t_h r 9i s t Y m
traustur	t_h r 9i s t Y r
travel	t_h r a: v E l
travelling	t_h r a: v E l i N
traðkað	t_h r a T k a D
traðkaði	t_h r a T k a D I
treatment	t_h r i: t m E n_0 t
treaty	t_h r i: t i
tree	t_h r i:
trefjaplast	t_h r E v j a p_h l a s t
trega	t_h r E: G a
tregur	t_h r E: G Y r
tregða	t_h r E G D a
trekk	t_h r E h k
trekkja	t_h r E h c a
trend	t_h r E n t
treyja	t_h r ei: j a
treyju	t_h r ei: j Y
treyst	t_h r ei s t
treysta	t_h r ei s t a
treystandi	t_h r ei s t a n t I
treysti	t_h r ei s t I
treystir	t_h r ei s t I r
treystu	t_h r ei s t Y
treystum	t_h r ei s t Y m
trial	t_h r ai: j a l
tribune	t_h r I p j 9: n
tribute	t_h r I p j u: t
tried	t_h r ai: t
trikk	t_h r I h k
trip	t_h r I p
trips	t_h r I p s
tristan	t_h r I s t a n
trjám	t_h r j au: m
trjánna	t_h r j au n a
trjáplöntur	t_h r j au: p_h l 9 n_0 t Y r
trommari	t_h r O m a r I
trommur	t_h r O m Y r
tromp	t_h r O m_0 p
trompet	t_h r O m_0 p E t
tromsö	t_h r O m s 9
trophy	t_h r ou: f i
trouble	t_h r O: p u l
troða	t_h r O: D a
troðið	t_h r O: D I D
true	t_h r u:
trufla	t_h r Y p l a
truflað	t_h r Y p l a D
truflun	t_h r Y p l Y n
trulli	t_h r Y l I
truly	t_h r u: l i
trump	t_h r 9 m_0 p
trumps	t_h r 9 m_0 p s
trust	t_h r u s t
truth	t_h r u T
try	t_h r ai:
trygga	t_h r I k a
tryggan	t_h r I k a n
tryggi	t_h r I c I
trygging	t_h r I c i N k
trygginga	t_h r I c i N k a
tryggingafélaga	t_h r I c i N k a f j E l a G a
tryggingamálaráðherra	t_h r I c i N k a m au l a r au T h E r a
trygginganefndar	t_h r I c i N k a n E m t a r
tryggingastofnun	t_h r I c i N k a s t O p n Y n
tryggingastofnunar	t_h r I c i N k a s t O p n a r
tryggingu	t_h r I c i N k Y
tryggingum	t_h r I c i N k Y m
tryggir	t_h r I c I r
tryggja	t_h r I c a
tryggt	t_h r I x t
tryggur	t_h r I k Y r
tryggva	t_h r I k v a
tryggvadóttir	t_h r I k v a t ou h t I r
tryggvadóttur	t_h r I k v a t ou h t Y r
tryggvagötu	t_h r I k v a k 9 t Y
tryggvason	t_h r I k v a s O n
tryggvi	t_h r I k v I
tryggð	t_h r I G D
tryggðar	t_h r I G D a r
tryggði	t_h r I G D I
tryggðir	t_h r I G D I r
tryggður	t_h r I G D Y r
trying	t_h r ai j i N
trylltist	t_h r I l_0 t I s t
trylltum	t_h r I l_0 t Y m
tré	t_h r j E:
trékyllisvík	t_h r j E: c_h I t l I s v i k
trén	t_h r j E: n
trésmiður	t_h r j E s m I D Y r
tréð	t_h r j E: D
trónir	t_h r ou: n I r
tröll	t_h r 9 t l_0
trönubyggingar	t_h r 9: n Y p I c i N k a r
tröppuna	t_h r 9 h p Y n a
tröppur	t_h r 9 h p Y r
tröppurnar	t_h r 9 h p Y r t n a r
trú	t_h r u:
trúa	t_h r u: a
trúar	t_h r u: a r
trúarbrögð	t_h r u: a r_0 p r 9 G D
trúarbrögðum	t_h r u: a r p r 9 G D Y m
trúað	t_h r u: a D
trúfélag	t_h r u: f j E l a G
trúi	t_h r u: I
trúin	t_h r u: I n
trúir	t_h r u: I r
trúlausra	t_h r u: l 9i s r a
trúlega	t_h r u: l E G a
trúna	t_h r u: n a
trúnað	t_h r u: n a D
trúnaðarmál	t_h r u: n a D a r m au l
trúnaðarstörfum	t_h r u: n a D a r_0 s t 9 r v Y m
trúnaðartrausts	t_h r u: n a D a r_0 t_h r 9i s t s
trúnaði	t_h r u: n a D I
trúnni	t_h r u n I
trúr	t_h r u: r
trúss	t_h r u s
trúum	t_h r u: Y m
trúverðugleika	t_h r u: v E r D Y G l ei k a
trúði	t_h r u: D I
trúðu	t_h r u: D Y
tube	t_h j u: p
tug	t_h Y: G
tugi	t_h Yi j I
tugir	t_h Yi j I r
tugum	t_h Y: G Y m
tugur	t_h Y: G Y r
tugþúsundir	t_h Y G T u s Y n t I r
tumi	t_h Y: m I
tunga	t_h u N k a
tungan	t_h u N k a n
tungla	t_h u N l a
tungli	t_h u N l I
tunglinu	t_h u N l I n Y
tunglið	t_h u N l I D
tungls	t_h u N l s
tunglsins	t_h u N l s I n s
tunglskini	t_h u N l s c I n I
tunglskinið	t_h u N l s c I n I D
tunglsljósi	t_h u N l s t l j ou s I
tunglsljósinu	t_h u N l s t l j ou s I n Y
tungltímatal	t_h u N l_0 t_h i m a t_h a l
tunglum	t_h u N l Y m
tungnár	t_h u N n au r
tungu	t_h u N k Y
tunguhreppi	t_h u N k Y r_0 E h p I
tungumál	t_h u N k Y m au l
tungumála	t_h u N k Y m au l a
tungumálakennslu	t_h u N k Y m au l a c_h E n s t l Y
tungumálakunnáttu	t_h u N k Y m au l a k_h Y n au h t Y
tungumáli	t_h u N k Y m au l I
tungumálið	t_h u N k Y m au l I D
tungumálsins	t_h u N k Y m au l s I n s
tungumálum	t_h u N k Y m au l Y m
tungunnar	t_h u N k Y n a r
tungur	t_h u N k Y r
tungutak	t_h u N k Y t_h a k
tungutalið	t_h u N k Y t_h a l I D
tunnan	t_h Y n a n
tunnu	t_h Y n Y
tunnur	t_h Y n Y r
turbo	t_h u r p ou
turismo	t_h u r I s m ou
turn	t_h Y r t n_0
turned	t_h 9 r n t
turner	t_h 9 r n E r
tuttugu	t_h Y h t Y G Y
tuttugustu	t_h Y h t Y G Y s t Y
tveggja	t_h v E c a
tveim	t_h v ei: m
tveimur	t_h v ei: m Y r
tveir	t_h v ei: r
tvenn	t_h v E n
tvenna	t_h v E n a
tvenns	t_h v E n s
tvennt	t_h v E n_0 t
tvennu	t_h v E n Y
tvennum	t_h v E n Y m
tvisvar	t_h v I: s v a r
tvo	t_h v O:
tvær	t_h v ai: r
tvíburi	t_h v i: p Y r I
tvígang	t_h v i: k au N k
tvíhliða	t_h v i: l_0 I D a
tvímælalaust	t_h v i: m ai l a l 9i s t
tvímæli	t_h v i: m ai l I
tvímælis	t_h v i: m ai l I s
tvípunktur	t_h v i: p_h u n_0 t Y r
tvískinnung	t_h v i: s c I n u N k
tvískiptur	t_h v i: s c I f t Y r
tvítug	t_h v i: t Y G
tvítugur	t_h v i: t Y G Y r
tvívegis	t_h v i: v ei j I s
tvíþætt	t_h v i: T ai h t
tvö	t_h v 9:
tvöfalda	t_h v 9: f a l t a
tvöfaldast	t_h v 9: f a l t a s t
tvöfaldur	t_h v 9: f a l t Y r
tvöfalt	t_h v 9: f a l_0 t
tvöföld	t_h v 9: f 9 l t
tvöföldun	t_h v 9: f 9 l t Y n
twelve	t v E l v
twenty	t v E n_0 t i
twice	t v ai: s
twilight	t v ai: l ai t
twin	t v I n
twitter	t v I h t E r
tyggja	t_h I c a
tyggjó	t_h I c ou
tyler	t_h ai: l E r
tylftir	t_h I l_0 t I r
tyllti	t_h I l_0 t I
tylltu	t_h I l_0 t Y
type	t_h ai: p
tyrkir	t_h I r_0 c I r
tyrkja	t_h I r_0 c a
tyrkjum	t_h I r_0 c Y m
tyrkland	t_h I r_0 k l a n t
tyrklandi	t_h I r_0 k l a n t I
tyrklands	t_h I r_0 k l a n t s
tyrkneska	t_h I r_0 k n E s k a
tyrkneskt	t_h I r_0 k n E s t
tá	t_h au:
tákn	t_h au h k n_0
táknin	t_h au h k n I n
táknið	t_h au h k n I D
táknmáli	t_h au h k n m au l I
tálknafirði	t_h au l_0 k n a f I r D I
táningur	t_h au: n i N k Y r
tánni	t_h au n I
tánum	t_h au: n Y m
tár	t_h au: r
táragasi	t_h au: r a k a s I
tárin	t_h au: r I n
tárum	t_h au: r Y m
tæka	t_h ai: k a
tæki	t_h ai: c I
tækifæri	t_h ai: c I f ai r I
tækifærin	t_h ai: c I f ai r I n
tækifærið	t_h ai: c I f ai r I D
tækifærum	t_h ai: c I f ai r Y m
tækin	t_h ai: c I n
tækist	t_h ai: c I s t
tækið	t_h ai: c I D
tækja	t_h ai: c a
tækju	t_h ai: c Y
tækjum	t_h ai c Y m
tækla	t_h ai h k l a
tæklingu	t_h ai h k l i N k Y
tækni	t_h ai h k n I
tæknileg	t_h ai h k n I l E G
tæknilega	t_h ai h k n I l E G a
tæknilegar	t_h ai h k n I l E G a r
tæknilegum	t_h ai h k n I l E G Y m
tæknin	t_h ai h k n I n
tæknina	t_h ai h k n I n a
tækninni	t_h ai h k n I n I
tæla	t_h ai: l a
tæma	t_h ai: m a
tæmandi	t_h ai: m a n t I
tæp	t_h ai: p
tæpa	t_h ai: p a
tæpan	t_h ai: p a n
tæpar	t_h ai: p a r
tæpast	t_h ai: p a s t
tæpir	t_h ai: p I r
tæpra	t_h ai: p r a
tæpri	t_h ai: p r I
tæpt	t_h ai f t
tæpu	t_h ai: p Y
tæpum	t_h ai: p Y m
tæpur	t_h ai: p Y r
tær	t_h ai: r
tæra	t_h ai: r a
tæta	t_h ai: t a
tékk	t_h j E h k
tékka	t_h j E h k a
tékkar	t_h j E h k a r
tékkað	t_h j E h k a D
tékkland	t_h j E h k l a n t
tékklandi	t_h j E h k l a n t I
tékkneska	t_h j E h k n E s k a
tékknesku	t_h j E h k n E s k Y
tékkum	t_h j E h k Y m
tígli	t_h i k l I
tígull	t_h i: G Y t l_0
tík	t_h i: k
tíma	t_h i: m a
tímabelti	t_h i: m a p E l_0 t I
tímabil	t_h i: m a p I l
tímabili	t_h i: m a p I l I
tímabilinu	t_h i: m a p I l I n Y
tímabilið	t_h i: m a p I l I D
tímabils	t_h i: m a p I l s
tímabilsins	t_h i: m a p I l s I n s
tímabilum	t_h i: m a p I l Y m
tímabundin	t_h i: m a p Y n t I n
tímabundinn	t_h i: m a p Y n t I n
tímabundið	t_h i: m a p Y n t I D
tímabundna	t_h i: m a p Y n t n a
tímabært	t_h i: m a p ai r_0 t
tímafrekt	t_h i: m a f r E x t
tímamót	t_h i: m a m ou t
tímamótum	t_h i: m a m ou t Y m
tímamörk	t_h i: m a m 9 r_0 k
tímana	t_h i: m a n a
tímanlega	t_h i: m a n l E G a
tímann	t_h i: m a n
tímans	t_h i: m a n s
tímanum	t_h i: m a n Y m
tímapunkti	t_h i: m a p_h u n_0 t I
tímar	t_h i: m a r
tímarit	t_h i: m a r I t
tímariti	t_h i: m a r I t I
tímaritinu	t_h i: m a r I t I n Y
tímaritið	t_h i: m a r I t I D
tímaritsins	t_h i: m a r I t s I n s
tímaritum	t_h i: m a r I t Y m
tímarnir	t_h i: m a r t n I r
tímasetning	t_h i: m a s E h t n I N k
tímasetningar	t_h i: m a s E h t n I N k a r
tímasetningu	t_h i: m a s E h t n I N k Y
tímatöku	t_h i: m a t_h 9 k Y
tímaáætlun	t_h i: m a au ai h t l Y n
tími	t_h i: m I
tíminn	t_h i: m I n
tímum	t_h i: m Y m
tímunum	t_h i: m O n Y m
tína	t_h i: n a
tíndu	t_h i n t Y
tínir	t_h i: n I r
tíska	t_h i s k a
tísku	t_h i s k Y
tíst	t_h i s t
títt	t_h i h t
tíu	t_h i j Y
tíund	t_h i j Y n t
tíunda	t_h i: j Y n t a
tíundi	t_h i j Y n t I
tíð	t_h i: D
tíðahvörf	t_h i: D a k_h v 9 r f
tíðar	t_h i: D a r
tíðarandann	t_h i: D a r a n t a n
tíðina	t_h i: D I n a
tíðinda	t_h i: D I n t a
tíðindi	t_h i: D I n t I
tíðindin	t_h i: D I n t I n
tíðindum	t_h i: D I n t Y m
tíðkast	t_h i T k a s t
tíðkaðist	t_h i T k a D I s t
tíðkist	t_h i T c I s t
tíðkuðust	t_h i T k Y D Y s t
tíðni	t_h i D n I
tíðrætt	t_h i D r ai h t
tíðum	t_h i: D Y m
tíður	t_h i: D Y r
tóbak	t_h ou: p a k
tóbaki	t_h ou: p a c I
tók	t_h ou: k
tókst	t_h ou k s t
tóku	t_h ou: k Y
tókum	t_h ou: k Y m
tókust	t_h ou: k Y s t
tókýó	t_h ou: c i j ou
tól	t_h ou: l
tólf	t_h ou l f
tólfta	t_h ou l_0 t a
tólftu	t_h ou l_0 t Y
tóm	t_h ou: m
tómas	t_h ou: m a s
tómasar	t_h ou: m a s a r
tómasdóttir	t_h ou: m a s t ou h t I r
tómasi	t_h ou: m a s I
tómasson	t_h ou: m a s O n
tómlæti	t_h ou m l ai t I
tómt	t_h ou m_0 t
tómum	t_h ou: m Y m
tómur	t_h ou: m Y r
tón	t_h ou: n
tóna	t_h ou: n a
tóninn	t_h ou: n I n
tónkvísl	t_h ou N k_h v i s t l_0
tónleika	t_h ou n l ei k a
tónleikaferð	t_h ou n l ei k a f E r D
tónleikana	t_h ou n l ei k a n a
tónleikanna	t_h ou n l ei k a n a
tónleikar	t_h ou n l ei k a r
tónleikarnir	t_h ou n l ei k a r t n I r
tónleikum	t_h ou n l ei k Y m
tónleikunum	t_h ou n l ei k O n Y m
tónlist	t_h ou n l I s t
tónlistar	t_h ou n l I s t a r
tónlistarflutning	t_h ou n l I s t a r_0 f l Y h t n i N k
tónlistarflutningur	t_h ou n l I s t a r f l Y h t n i N k Y r
tónlistarmanna	t_h ou n l I s t a r m a n a
tónlistarmaður	t_h ou n l I s t a r m a D Y r
tónlistarmaðurinn	t_h ou n l I s t a r m a D Y r I n
tónlistarmenn	t_h ou n l I s t a r m E n
tónlistarmönnum	t_h ou n l I s t a r m 9 n Y m
tónlistarskóla	t_h ou n l I s t a r_0 s k ou l a
tónlistarskólann	t_h ou n l I s t a r_0 s k ou l a n
tónlistarskólanum	t_h ou n l I s t a r_0 s k ou l a n Y m
tónlistarskóli	t_h ou n l I s t a r_0 s k ou l I
tónlistin	t_h ou n l I s t I n
tónlistina	t_h ou n l I s t I n a
tónlistinni	t_h ou n l I s t I n I
tónn	t_h ou t n_0
tónninn	t_h ou t n I n
tónskáld	t_h ou n s k au l t
tónskáldið	t_h ou n s k au l t I D
tónum	t_h ou: n Y m
tónverk	t_h ou n v E r_0 k
töf	t_h 9: f
töff	t_h 9 f
töffari	t_h 9 f a r I
töflu	t_h 9 p l Y
töflunni	t_h 9 p l Y n I
töflur	t_h 9 p l Y r
töfum	t_h 9: v Y m
tögl	t_h 9 k l_0
tök	t_h 9: k
tökin	t_h 9: c I n
töku	t_h 9: k Y
tökum	t_h 9: k Y m
tökur	t_h 9: k Y r
töldu	t_h 9 l t Y
töldum	t_h 9 l t Y m
tölfræði	t_h 9 l f r ai D I
tölt	t_h 9 l_0 t
tölu	t_h 9: l Y
tölublaði	t_h 9: l Y p l a D I
tölublöð	t_h 9: l Y p l 9 D
tölulið	t_h 9: l Y l I D
tölum	t_h 9: l Y m
tölur	t_h 9: l Y r
tölurnar	t_h 9: l Y r t n a r
tölustafur	t_h 9: l Y s t a v Y r
tölusveinninn	t_h 9: l Y s v ei t n I n
töluvert	t_h 9: l Y v E r_0 t
töluverð	t_h 9: l Y v E r D
töluverða	t_h 9: l Y v E r D a
töluverðan	t_h 9: l Y v E r D a n
töluverðar	t_h 9: l Y v E r D a r
töluverðu	t_h 9: l Y v E r D Y
töluverðum	t_h 9: l Y v E r D Y m
töluverður	t_h 9: l Y v E r D Y r
töluðu	t_h 9: l Y D Y
töluðum	t_h 9: l Y D Y m
tölva	t_h 9 l v a
tölvan	t_h 9 l v a n
tölvu	t_h 9 l v Y
tölvukerfi	t_h 9 l v Y c_h E r v I
tölvum	t_h 9 l v Y m
tölvuna	t_h 9 l v Y n a
tölvunni	t_h 9 l v Y n I
tölvupóst	t_h 9 l v Y p_h ou s t
tölvupósta	t_h 9 l v Y p_h ou s t a
tölvupósti	t_h 9 l v Y p_h ou s t I
tölvupóstur	t_h 9 l v Y p_h ou s t Y r
tölvur	t_h 9 l v Y r
tölvuspil	t_h 9 l v Y s p I l
tönn	t_h 9 n
töp	t_h 9: p
töpuðu	t_h 9: p Y D Y
töpuðum	t_h 9: p Y D Y m
tösku	t_h 9 s k Y
túlka	t_h u l_0 k a
túlkar	t_h u l_0 k a r
túlkað	t_h u l_0 k a D
túlkun	t_h u l_0 k Y n
túlkur	t_h u l_0 k Y r
tún	t_h u: n
túnis	t_h u: n I s
túr	t_h u: r
túrmerik	t_h u r m E r I k
týna	t_h i: n a
týndist	t_h i n t I s t
týndur	t_h i n t Y r
týnt	t_h i n_0 t
týr	t_h i: r
týra	t_h i: r a
u	Y:
uber	u: p E r
uefa	j u: E f a
ufsa	Y f s a
ufsi	Y f s I
ulf	u l f
ull	Y t l_0
ullarpeysu	Y t l a r_0 p_h ei s Y
ultimate	u l_0 t I m ei t
ultra	u l_0 t r a
umboð	Y m p O D
umboði	Y m p O D I
umboðsmann	Y m p O D s m a n
umboðsmanni	Y m p O D s m a n I
umboðsmanns	Y m p O D s m a n s
umboðsmaður	Y m p O D s m a D Y r
umboðsmenn	Y m p O D s m E n
umboðssvik	Y m p O D s v I k
umburðarlyndi	Y m p Y r D a r l I n t I
umbætur	Y m p ai t Y r
umbótum	Y m p ou t Y m
umbúðapappír	Y m p u D a p_h a h p i r
umbúðir	Y m p u D I r
umbúðum	Y m p u D Y m
umdeild	Y m t ei l t
umdeilda	Y m t ei l t a
umdeildar	Y m t ei l t a r
umdeildu	Y m t ei l t Y
umdeildur	Y m t ei l t Y r
umdeilt	Y m t ei l_0 t
umdæmi	Y m t ai m I
umdæminu	Y m t ai m I n Y
umfang	Y m f au N k
umfangi	Y m f au J c I
umfangsmikil	Y m f au N s m I c I l
umfangsmikilli	Y m f au N s m I c I t l I
umfangsmikið	Y m f au N s m I c I D
umfangsmikla	Y m f au N s m I h k l a
umfangsmiklar	Y m f au N s m I h k l a r
umferð	Y m f E r D
umferðar	Y m f E r D a r
umferðarinnar	Y m f E r D a r I n a r
umferðarlaga	Y m f E r D a r l a G a
umferðarlagabrot	Y m f E r D a r l a G a p r O t
umferðarlögum	Y m f E r D a r l 9 G Y m
umferðarslys	Y m f E r D a r_0 s t l I s
umferðarslysa	Y m f E r D a r_0 s t l I s a
umferðarslysi	Y m f E r D a r_0 s t l I s I
umferðarslysum	Y m f E r D a r_0 s t l I s Y m
umferðarstofu	Y m f E r D a r_0 s t O v Y
umferðaróhöpp	Y m f E r D a r ou h 9 h p
umferðaröryggi	Y m f E r D a r 9 r I c I
umferðin	Y m f E r D I n
umferðina	Y m f E r D I n a
umferðinni	Y m f E r D I n I
umferðir	Y m f E r D I r
umferðum	Y m f E r D Y m
umferðunum	Y m f E r D O n Y m
umfjöllun	Y m f j 9 t l Y n
umfjöllunar	Y m f j 9 t l Y n a r
umfjöllunarefni	Y m f j 9 t l Y n a r E p n I
umfjöllunin	Y m f j 9 t l Y n I n
umfram	Y m f r a m
umgangast	Y m k au N k a s t
umgengni	Y m c ei N n I
umgjörð	Y m c 9 r D
umheiminn	Y m h ei m I n
umheiminum	Y m h ei m I n Y m
umhorfs	Y m h O r f s
umhugað	Y m h Y G a D
umhugsunar	Y m h Y k s Y n a r
umhugsunarefni	Y m h Y k s Y n a r E p n I
umhverfi	Y m k_h v E r v I
umhverfinu	Y m k_h v E r v I n Y
umhverfis	Y m k_h v E r v I s
umhverfisins	Y m k_h v E r v I s I n s
umhverfismat	Y m k_h v E r v I s m a t
umhverfismál	Y m k_h v E r v I s m au l
umhverfismála	Y m k_h v E r v I s m au l a
umhverfismálum	Y m k_h v E r v I s m au l Y m
umhverfisráðherra	Y m k_h v E r v I s r au T h E r a
umhverfisráðuneyti	Y m k_h v E r v I s r au D Y n ei t I
umhverfisráðuneytinu	Y m k_h v E r v I s r au D Y n ei t I n Y
umhverfisráðuneytisins	Y m k_h v E r v I s r au D Y n ei t I s I n s
umhverfisráðuneytið	Y m k_h v E r v I s r au D Y n ei t I D
umhverfisstofnun	Y m k_h v E r v I s t O p n Y n
umhverfisstofnunar	Y m k_h v E r v I s t O p n Y n a r
umhverfisvernd	Y m k_h v E r v I s v E r n t
umhverfisverndar	Y m k_h v E r v I s v E r n t a r
umhverfisverndarsamtökin	Y m k_h v E r v I s v E r n t a r_0 s a m t_h 9 c I n
umhverfisvænna	Y m k_h v E r v I s v ai t n a
umhverfisvænni	Y m k_h v E r v I s v ai t n I
umhverfisáhrif	Y m k_h v E r v I s au r_0 I v
umhverfisáhrifum	Y m k_h v E r v I s au r_0 I v Y m
umhverfið	Y m k_h v E r v I D
umhyggja	Y m h I c a
umhyggju	Y m h I c Y
umkomuleysi	Y m k_h O m Y l ei s I
umkringd	Y m k_h r i N t
umkringdu	Y m k_h r i N t Y
umkringdur	Y m k_h r i N t Y r
umkringt	Y m k_h r i N_0 t
umliðnum	Y m l I D n Y m
ummerki	Y m E r_0 c I
ummæla	Y m ai l a
ummæli	Y m ai l I
ummælin	Y m ai l I n
ummælum	Y m ai l Y m
umráð	Y m r au D
umráða	Y m r au D a
umrædd	Y m r ai t
umrædda	Y m r ai t a
umræddan	Y m r ai t a n
umræddar	Y m r ai t a r
umræddir	Y m r ai t I r
umræddra	Y m r ai t r a
umræddrar	Y m r ai t r a r
umræddri	Y m r ai t r I
umrædds	Y m r ai t s
umræddu	Y m r ai t Y
umræddum	Y m r ai t Y m
umræddur	Y m r ai t Y r
umrætt	Y m r ai h t
umræða	Y m r ai D a
umræðan	Y m r ai D a n
umræðna	Y m r ai D n a
umræðu	Y m r ai D Y
umræðuefni	Y m r ai D Y E p n I
umræðum	Y m r ai D Y m
umræðuna	Y m r ai D Y n a
umræðunnar	Y m r ai D Y n a r
umræðunni	Y m r ai D Y n I
umræðunum	Y m r ai D O n Y m
umræður	Y m r ai D Y r
umræðurnar	Y m r ai D Y r t n a r
umsagna	Y m s a k n a
umsagnar	Y m s a k n a r
umsagnir	Y m s a k n I r
umsjá	Y m s j au
umsjón	Y m s j ou n
umsjónarmaður	Y m s j ou n a r m a D Y r
umskipti	Y m s c I f t I
umskiptum	Y m s c I f t Y m
umspil	Y m s p I l
umspili	Y m s p I l I
umsvif	Y m s v I v
umsvifalaust	Y m s v I v a l 9i s t
umsvifum	Y m s v I v Y m
umsækjanda	Y m s ai c a n t a
umsækjandi	Y m s ai c a n t I
umsækjenda	Y m s ai c E n t a
umsækjendum	Y m s ai c E n t Y m
umsækjendur	Y m s ai c E n t Y r
umsókn	Y m s ou h k n
umsókna	Y m s ou h k n a
umsóknar	Y m s ou h k n a r
umsóknarfrestur	Y m s ou h k n a r_0 f r E s t Y r
umsóknina	Y m s ou h k n I n a
umsóknir	Y m s ou h k n I r
umsóknum	Y m s ou h k n Y m
umsögn	Y m s 9 k n_0
umsögnum	Y m s 9 k n Y m
umsýslu	Y m s i s t l Y
umtal	Y m t_h a l
umtalsefni	Y m t_h a l s E p n I
umtalsvert	Y m t_h a l s v E r_0 t
umtalsverð	Y m t_h a l s v E r D
umtalsverða	Y m t_h a l s v E r D a
umtalsverðar	Y m t_h a l s v E r D a r
umtalsverðum	Y m t_h a l s v E r D Y m
umtalsverður	Y m t_h a l s v E r D Y r
umönnun	Y m 9 n Y n
un	9 n
una	Y: n a
unað	Y: n a D
und	Y n t
undan	Y n t a n
undanfari	Y n t a n f a r I
undanfarin	Y n t a n f a r I n
undanfarinn	Y n t a n f a r I n
undanfarinna	Y n t a n f a r I n a
undanfarið	Y n t a n f a r I D
undanfarna	Y n t a n f a r t n a
undanfarnar	Y n t a n f a r t n a r
undanförnu	Y n t a n f 9 r t n Y
undanförnum	Y n t a n f 9 r t n Y m
undangengna	Y n t a n c ei N n a
undangengnu	Y n t a n c ei N n Y
undangengnum	Y n t a n c ei N n Y m
undanhaldi	Y n t a n h a l t I
