a	aː
sjóveikipillum	s j ouː v ei c ɪ p ɪ l ʏ m
sjóveikispillunum	s j ouː v ei c ɪ s p ɪ l ɔ n ʏ m
sjóveikispillur	s j ouː v ei c ɪ s p ɪ l ʏ r
sjóvá	s j ouː v au
sjóvár	s j ouː v au r
sjóð	s j ouː ð
sjóða	s j ouː ð a
sjóðandi	s j ouː ð a n t ɪ
sjóðanna	s j ouː ð a n a
sjóðfélaga	s j ou ð f j ɛ l a ɣ a
sjóðfélagar	s j ou ð f j ɛ l a ɣ a r
sjóði	s j ouː ð ɪ
sjóðina	s j ouː ð ɪ n a
sjóðinn	s j ouː ð ɪ n
sjóðir	s j ouː ð ɪ r
sjóðirnir	s j ouː ð ɪ r t n ɪ r
sjóðið	s j ouː ð ɪ ð
sjóðnum	s j ou ð n ʏ m
sjóðs	s j ou ð s
sjóðsfélaga	s j ou ð s f j ɛ l a ɣ a
sjóðsins	s j ou ð s ɪ n s
sjóðum	s j ouː ð ʏ m
sjóðunum	s j ouː ð ɔ n ʏ m
sjóður	s j ouː ð ʏ r
sjóðurinn	s j ouː ð ʏ r ɪ n
sjö	s j œː
sjöfn	s j œ p n̥
sjötta	s j œ h t a
sjötti	s j œ h t ɪ
sjöttu	s j œ h t ʏ
sjötugsaldri	s j œː t ʏ x s a l t r ɪ
sjötugt	s j œː t ʏ x t
sjötugur	s j œː t ʏ ɣ ʏ r
sjötíu	s j œː tʰ i j ʏ
sjöunda	s j œː ʏ n t a
sjöundi	s j œː ʏ n t ɪ
sjöundu	s j œː ʏ n t ʏ
sjúga	s j uː ɣ a
sjúkdóm	s j u k t ou m
sjúkdóma	s j uː k t ou m a
sjúkdómar	s j u k t ou m a r
sjúkdómi	s j u k t ou m ɪ
sjúkdóminn	s j uː k t ou m ɪ n
sjúkdómnum	s j u k t ou m n ʏ m
sjúkdóms	s j u k t ou m s
sjúkdómseinkenni	s j u k t ou m s ei ɲ cʰ ɛ n ɪ
sjúkdómsins	s j u k t ou m s ɪ n s
sjúkdómum	s j u k t ou m ʏ m
sjúkdómur	s j u k t ou m ʏ r
sjúkdómurinn	s j u k t ou m ʏ r ɪ n
sjúkling	s j u h k l i ŋ k
sjúklinga	s j u h k l i ŋ k a
sjúklinganna	s j u h k l i ŋ k a n a
sjúklingar	s j u h k l i ŋ k a r
sjúklingarnir	s j u h k l i ŋ k a r t n ɪ r
sjúklingatryggingin	s j u h k l i ŋ k a tʰ r ɪ c i ɲ c ɪ n
sjúklingi	s j u h k l i ɲ c ɪ
sjúklinginn	s j u h k l i ɲ c ɪ n
sjúklings	s j u h k l i ŋ s
sjúklingsins	s j u h k l i ŋ s ɪ n s
sjúklingur	s j u h k l i ŋ k ʏ r
sjúklingurinn	s j u h k l i ŋ k ʏ r ɪ n
sjúkraberar	s j uː k r a p ɛ r a r
sjúkrabifreið	s j uː k r a p ɪ v r ei ð
sjúkrabíl	s j uː k r a p i l
sjúkrabílar	s j uː k r a p i l a r
sjúkrabíll	s j uː k r a p i t l̥
sjúkrabíllinn	s j uː k r a p i t l ɪ n
sjúkrabörur	s j uː k r a p œ r ʏ r
sjúkraflug	s j uː k r a f l ʏ ɣ
sjúkraflugi	s j uː k r a f l ʏi j ɪ
sjúkraflutninga	s j uː k r a f l ʏ h t n i ŋ k a
sjúkraflutningamanna	s j uː k r a f l ʏ h t n i ŋ k a m a n a
sjúkraflutningamenn	s j uː k r a f l ʏ h t n i ŋ k a m ɛ n
sjúkrahús	s j uː k r a h u s
sjúkrahúsa	s j uː k r a h u s a
sjúkrahúsanna	s j uː k r a h u s a n a
sjúkrahúsi	s j uː k r a h u s ɪ
sjúkrahúsin	s j uː k r a h u s ɪ n
sjúkrahúsinu	s j uː k r a h u s ɪ n ʏ
sjúkrahúsið	s j uː k r a h u s ɪ ð
sjúkrahúss	s j uː k r a h u s
sjúkrahússins	s j uː k r a h u s ɪ n s
sjúkrahúsum	s j uː k r a h u s ʏ m
sjúkrahúsunum	s j uː k r a h u s ɔ n ʏ m
sjúkraliða	s j uː k r a l ɪ ð a
sjúkraliðar	s j uː k r a l ɪ ð a r
sjúkraliði	s j uː k r a l ɪ ð ɪ
sjúkraliðum	s j uː k r a l ɪ ð ʏ m
sjúkraskrá	s j uː k r a s k r au
sjúkraskrám	s j uː k r a s k r au m
sjúkrastofnana	s j uː k r a s t ɔ p n a n a
sjúkrastofnunum	s j uː k r a s t ɔ p n ʏ n ʏ m
sjúkratrygginga	s j uː k r a tʰ r ɪ c i ŋ k a
sjúkratryggingar	s j uː k r a tʰ r ɪ c i ŋ k a r
sjúkratryggingum	s j uː k r a tʰ r ɪ c i ŋ k ʏ m
sjúkraþjálfara	s j uː k r a θ j au l v a r a
sjúkraþjálfari	s j uː k r a θ j au l v a r ɪ
sjúkraþjálfun	s j uː k r a θ j au l v ʏ n
sjúkur	s j uː k ʏ r
ska	s k a
skafa	s k aː v a
skaffa	s k a f a
skafrenningur	s k a v r ɛ n i ŋ k ʏ r
skaftafelli	s k a f t a f ɛ t l ɪ
skaftafellssýslu	s k a f t a f ɛ l s i s t l ʏ
skaftafellssýslum	s k a f t a f ɛ l s i s t l ʏ m
skafti	s k a f t ɪ
skaftá	s k a f t au
skaga	s k aː ɣ a
skagafirði	s k aː ɣ a f ɪ r ð ɪ
skagafjarðar	s k aː ɣ a f j a r ð a r
skagafjörð	s k aː ɣ a f j œ r ð
skagafjörður	s k aː ɣ a f j œ r ð ʏ r
skagamanna	s k aː ɣ a m a n a
skagamenn	s k aː ɣ a m ɛ n
skagamönnum	s k aː ɣ a m œ n ʏ m
skaganum	s k aː ɣ a n ʏ m
skagaströnd	s k aː ɣ a s t r œ n t
skagfirðinga	s k a x f ɪ r ð i ŋ k a
skak	s k aː k
skakkaföllum	s k a h k a f œ t l ʏ m
skakkir	s k a h c ɪ r
skakrúlla	s k aː k r u l a
skakrúllu	s k aː k r u l ʏ
skal	s k aː l
skala	s k aː l a
skall	s k a t l̥
skalla	s k a t l a
skallagrím	s k a t l a k r i m
skallagrími	s k a t l a k r i m ɪ
skallagríms	s k a t l a k r i m s
skallagrímur	s k a t l a k r i m ʏ r
skallamarki	s k a t l a m a r̥ c ɪ
skallaði	s k a t l a ð ɪ
skalt	s k a l̥ t
skaltu	s k a l̥ t ʏ
skamma	s k a m a
skamman	s k a m a n
skammar	s k a m a r
skammarlegt	s k a m a r l ɛ x t
skammast	s k a m a s t
skammastu	s k a m a s t ʏ
skammaði	s k a m a ð ɪ
skammaðist	s k a m a ð ɪ s t
skammaður	s k a m a ð ʏ r
skammbyssu	s k a m p ɪ s ʏ
skammbyssum	s k a m p ɪ s ʏ m
skammbyssuna	s k a m p ɪ s ʏ n a
skammbyssunni	s k a m p ɪ s ʏ n ɪ
skammdeginu	s k a m t ei j ɪ n ʏ
skammdegisþunglyndi	s k a m t ei j ɪ s θ u ŋ k l ɪ n t ɪ
skammdegið	s k a m t ei j ɪ ð
skamms	s k a m s
skammstöfun	s k a m s t œ v ʏ n
skammstöfunin	s k a m s t œ v ʏ n ɪ n
skammsýni	s k a m s i n ɪ
skammt	s k a m̥ t
skammta	s k a m̥ t a
skammtar	s k a m̥ t a r
skammtað	s k a m̥ t a ð
skammtaði	s k a m̥ t a ð ɪ
skammti	s k a m̥ t ɪ
skammtinn	s k a m̥ t ɪ n
skammtur	s k a m̥ t ʏ r
skammur	s k a m ʏ r
skammvinn	s k a m v ɪ n
skammvinnt	s k a m v ɪ n̥ t
skandinavíu	s k a n t ɪ n a v i j ʏ
skap	s k aː p
skapa	s k aː p a
skapandi	s k aː p a n t ɪ
skapar	s k aː p a r
skapari	s k aː p a r ɪ
skapast	s k aː p a s t
skapað	s k aː p a ð
skapaðan	s k aː p a ð a n
skapaði	s k aː p a ð ɪ
skapaðist	s k aː p a ð ɪ s t
skapaður	s k aː p a ð ʏ r
skapi	s k aː p ɪ
skapist	s k aː p ɪ s t
skapið	s k aː p ɪ ð
skaplyndi	s k a p l ɪ n t ɪ
skapraunar	s k aː p r œy n a r
skaptason	s k a f t a s ɔ n
skapti	s k a f t ɪ
skar	s k aː r
skara	s k aː r a
skarar	s k aː r a r
skarast	s k aː r a s t
skarað	s k aː r a ð
skarfur	s k a r v ʏ r
skari	s k aː r ɪ
skarið	s k aː r ɪ ð
skarkoli	s k aː r kʰ ɔ l ɪ
skarlat	s k a r l a t
skarpa	s k a r̥ p a
skarpari	s k a r̥ p a r ɪ
skarphéðin	s k a r̥ p ç ɛ ð ɪ n
skarphéðinn	s k a r̥ p ç ɛ ð ɪ n
skarphéðinsdóttir	s k a r̥ p ç ɛ ð ɪ n s t ou h t ɪ r
skarphéðinsdóttur	s k a r̥ p ç ɛ ð ɪ n s t ou h t ʏ r
skarphéðinsson	s k a r̥ p ç ɛ ð ɪ n s ɔ n
skarphéðinssonar	s k a r̥ p ç ɛ ð ɪ n s ɔ n a r
skarphéðinssyni	s k a r̥ p ç ɛ ð ɪ n s ɪ n ɪ
skarphéðni	s k a r̥ p ç ɛ ð n ɪ
skarplega	s k a r̥ p l ɛ ɣ a
skarpskyggni	s k a r̥ p s c ɪ k n ɪ
skarpur	s k a r̥ p ʏ r
skarst	s k a r̥ s t
skart	s k a r̥ t
skarta	s k a r̥ t a
skartar	s k a r̥ t a r
skartaði	s k a r̥ t a ð ɪ
skartgripi	s k a r̥ t k r ɪ p ɪ
skartgripum	s k a r̥ t k r ɪ p ʏ m
skarð	s k a r ð
skarði	s k a r ð ɪ
skarðið	s k a r ð ɪ ð
skata	s k aː t a
skatt	s k a h t
skatta	s k a h t a
skattahækkanir	s k a h t a h ai h k a n ɪ r
skattahækkun	s k a h t a h ai h k ʏ n
skattahækkunum	s k a h t a h ai h k ʏ n ʏ m
skattalega	s k a h t a l ɛ ɣ a
skattalækkanir	s k a h t a l ai h k a n ɪ r
skattalækkun	s k a h t a l ai h k ʏ n
skattalækkunum	s k a h t a l ai h k ɔ n ʏ m
skattalögum	s k a h t a l œ ɣ ʏ m
skattamál	s k a h t a m au l
skattamálum	s k a h t a m au l ʏ m
skattana	s k a h t a n a
skattanefnd	s k a h t a n ɛ m t
skattanefndar	s k a h t a n ɛ m t a r
skattar	s k a h t a r
skattaskjól	s k a h t a s c ou l
skattaskjólum	s k a h t a s c ou l ʏ m
skattayfirvöld	s k a h t a ɪ v ɪ r v œ l t
skattbyrði	s k a h t p ɪ r ð ɪ
skattframtali	s k a h t f r a m tʰ a l ɪ
skattframtölum	s k a h t f r a m tʰ œ l ʏ m
skattfrelsi	s k a h t f r ɛ l s ɪ
skattfé	s k a h t f j ɛ
skattgreiðenda	s k a h t k r ei ð ɛ n t a
skattgreiðendum	s k a h t k r ei ð ɛ n t ʏ m
skattgreiðendur	s k a h t k r ei ð ɛ n t ʏ r
skattgreiðslum	s k a h t k r ei ð s t l ʏ m
skattgreiðslur	s k a h t k r ei ð s t l ʏ r
skattheimta	s k a h t h ei m̥ t a
skattheimtu	s k a h t h ei m̥ t ʏ
skatthol	s k a h t h ɔ l
skatthola	s k a h t h ɔ l a
skattholi	s k a h t h ɔ l ɪ
skattholið	s k a h t h ɔ l ɪ ð
skatthols	s k a h t h ɔ l s
skatti	s k a h t ɪ
skattinn	s k a h t ɪ n
skattinum	s k a h t ɪ n ʏ m
skattkerfi	s k a h t cʰ ɛ r v ɪ
skattkerfinu	s k a h t cʰ ɛ r v ɪ n ʏ
skattkerfið	s k a h t cʰ ɛ r v ɪ ð
skattlagning	s k a h t l a k n i ŋ k
skattlagningar	s k a h t l a k n i ŋ k a r
skattlagningu	s k a h t l a k n i ŋ k ʏ
skattleggja	s k a h t l ɛ c a
skattleysismörk	s k a h t l ei s ɪ s m œ r̥ k
skattpyngjur	s k a h t pʰ i ɲ c ʏ r
skattrannsóknarstjóra	s k a h t r a n s ou h k n a r̥ s t j ou r a
skattrannsóknarstjóri	s k a h t r a n s ou h k n a r̥ s t j ou r ɪ
skatts	s k a h t s
skattsins	s k a h t s ɪ n s
skattskyldar	s k a h t s c ɪ l t a r
skattskyldu	s k a h t s c ɪ l t ʏ
skattstjóra	s k a h t s t j ou r a
skattstjóri	s k a h t s t j ou r ɪ
skattstofn	s k a h t s t ɔ p n̥
skattsvik	s k a h t s v ɪ k
skatttekjum	s k a h tʰ ɛ c ʏ m
skatttekjur	s k a h tʰ ɛ c ʏ r
skattur	s k a h t ʏ r
skatturinn	s k a h t ʏ r ɪ n
skattyfirvalda	s k a h t ɪ v ɪ r v a l t a
skattyfirvöld	s k a h t ɪ v ɪ r v œ l t
skattyfirvöldum	s k a h t ɪ v ɪ r v œ l t ʏ m
skaust	s k œy s t
skaut	s k œyː t
skauta	s k œyː t a
skauti	s k œyː t ɪ
skaða	s k aː ð a
skaðabætur	s k aː ð a p ai t ʏ r
skaðabóta	s k aː ð a p ou t a
skaðabótakrafa	s k aː ð a p ou t a kʰ r a v a
skaðabótakröfu	s k aː ð a p ou t a kʰ r œ v ʏ
skaðabótalaga	s k aː ð a p ou t a l a ɣ a
skaðabótamál	s k aː ð a p ou t a m au l
skaðabótaréttar	s k aː ð a p ou t a r j ɛ h t a r
skaðabótaskyldu	s k aː ð a p ou t a s c ɪ l t ʏ
skaðabótaábyrgð	s k aː ð a p ou t a au p ɪ r ð
skaðabótum	s k aː ð a p ou t ʏ m
skaðann	s k aː ð a n
skaðar	s k aː ð a r
skaðast	s k aː ð a s t
skaðað	s k aː ð a ð
skaði	s k aː ð ɪ
skaðinn	s k aː ð ɪ n
skaðlausu	s k a ð l œy s ʏ
skaðleg	s k a ð l ɛ ɣ
skaðlegar	s k a ð l ɛ ɣ a r
skaðlegt	s k a ð l ɛ x t
skaðlegum	s k a ð l ɛ ɣ ʏ m
skaðlegur	s k a ð l ɛ ɣ ʏ r
skaðsemi	s k a ð s ɛ m ɪ
ske	s c ɛː
skefjum	s c ɛ v j ʏ m
skegg	s c ɛ k
skeggið	s c ɛ c ɪ ð
skeggja	s c ɛ c a
skeggjaða	s c ɛ c a ð a
skeggræddu	s c ɛ k r ai t ʏ
skeifunni	s c eiː v ʏ n ɪ
skein	s c eiː n
skeina	s c eiː n a
skeita	s c eiː t a
skeitað	s c eiː t a ð
skeitaði	s c eiː t a ð ɪ
skeiti	s c eiː t ɪ
skeið	s c eiː ð
skeiði	s c eiː ð ɪ
skeiðum	s c eiː ð ʏ m
skekkja	s c ɛ h c a
skel	s c ɛː l
skelfd	s c ɛ l t
skelfdum	s c ɛ l t ʏ m
skelfdur	s c ɛ l t ʏ r
skelfileg	s c ɛ l v ɪ l ɛ ɣ
skelfilega	s c ɛ l v ɪ l ɛ ɣ a
skelfilegar	s c ɛ l v ɪ l ɛ ɣ a r
skelfilegt	s c ɛ l v ɪ l ɛ x t
skelfilegu	s c ɛ l v ɪ l ɛ ɣ ʏ
skelfilegum	s c ɛ l v ɪ l ɛ ɣ ʏ m
skelfilegur	s c ɛ l v ɪ l ɛ ɣ ʏ r
skelfing	s c ɛ l v i ŋ k
skelfingu	s c ɛ l v i ŋ k ʏ
skeljungi	s c ɛ l j u ɲ c ɪ
skeljungs	s c ɛ l j u ŋ s
skeljungur	s c ɛ l j u ŋ k ʏ r
skella	s c ɛ t l a
skelli	s c ɛ t l ɪ
skellir	s c ɛ t l ɪ r
skellt	s c ɛ l̥ t
skellti	s c ɛ l̥ t ɪ
skelltu	s c ɛ l̥ t ʏ
skellur	s c ɛ t l ʏ r
skema	s c ɛː m a
skemma	s c ɛ m a
skemmd	s c ɛ m t
skemmda	s c ɛ m t a
skemmdarverk	s c ɛ m t a r v ɛ r̥ k
skemmdi	s c ɛ m t ɪ
skemmdir	s c ɛ m t ɪ r
skemmdirnar	s c ɛ m t ɪ r t n a r
skemmdist	s c ɛ m t ɪ s t
skemmdum	s c ɛ m t ʏ m
skemmdust	s c ɛ m t ʏ s t
skemmir	s c ɛ m ɪ r
skemmra	s c ɛ m r a
skemmri	s c ɛ m r ɪ
skemmstu	s c ɛ m s t ʏ
skemmt	s c ɛ m̥ t
skemmta	s c ɛ m̥ t a
skemmtan	s c ɛ m̥ t a n
skemmtanahald	s c ɛ m̥ t a n a h a l t
skemmtanir	s c ɛ m̥ t a n ɪ r
skemmti	s c ɛ m̥ t ɪ
skemmtiatriði	s c ɛ m̥ t ɪ a t r ɪ ð ɪ
skemmtidagskrá	s c ɛ m̥ t ɪ t a x s k r au
skemmtiefni	s c ɛ m̥ t ɪ ɛ p n ɪ
skemmtiferðaskip	s c ɛ m̥ t ɪ f ɛ r ð a s c ɪ p
skemmtiferðaskipa	s c ɛ m̥ t ɪ f ɛ r ð a s c ɪ p a
skemmtigarðinum	s c ɛ m̥ t ɪ k a r ð ɪ n ʏ m
skemmtigönguleið	s c ɛ m̥ t ɪ k œy ŋ k ʏ l ei ð
skemmtikvöldum	s c ɛ m̥ t ɪ kʰ v œ l t ʏ m
skemmtileg	s c ɛ m t ɪ l ɛ ɣ
skemmtilega	s c ɛ m t ɪ l ɛ ɣ a
skemmtilegan	s c ɛ m̥ t ɪ l ɛ ɣ a n
skemmtilegar	s c ɛ m t ɪ l ɛ ɣ a r
skemmtilegasta	s c ɛ m̥ t ɪ l ɛ ɣ a s t a
skemmtilegasti	s c ɛ m̥ t ɪ l ɛ ɣ a s t ɪ
skemmtilegir	s c ɛ m̥ t ɪ l ei j ɪ r
skemmtilegra	s c ɛ m̥ t ɪ l ɛ ɣ r a
skemmtilegri	s c ɛ m̥ t ɪ l ɛ ɣ r ɪ
skemmtilegt	s c ɛ m̥ t ɪ l ɛ x t
skemmtilegu	s c ɛ m̥ t ɪ l ɛ ɣ ʏ
skemmtilegum	s c ɛ m̥ t ɪ l ɛ ɣ ʏ m
skemmtilegur	s c ɛ m̥ t ɪ l ɛ ɣ ʏ r
skemmtilegustu	s c ɛ m̥ t ɪ l ɛ ɣ ʏ s t ʏ
skemmtir	s c ɛ m̥ t ɪ r
skemmtistað	s c ɛ m̥ t ɪ s t a ð
skemmtistaðinn	s c ɛ m̥ t ɪ s t a ð ɪ n
skemmtistaðnum	s c ɛ m̥ t ɪ s t a ð n ʏ m
skemmtistaður	s c ɛ m̥ t ɪ s t a ð ʏ r
skemmtistöðum	s c ɛ m̥ t ɪ s t œ ð ʏ m
skemmtisögur	s c ɛ m̥ t ɪ s œ ɣ ʏ r
skemmtun	s c ɛ m̥ t ʏ n
skemmtunar	s c ɛ m̥ t ʏ n a r
skemur	s c ɛː m ʏ r
skenkja	s c ei ɲ̊ c a
skepna	s c ɛ h p n a
skepnu	s c ɛ h p n ʏ
skepnum	s c ɛ h p n ʏ m
skepnuna	s c ɛ h p n ʏ n a
skepnunni	s c ɛ h p n ʏ n ɪ
skepnur	s c ɛ h p n ʏ r
skeptísk	s c ɛ f t i s k
skeptíska	s c ɛ f t i s k a
skeptískar	s c ɛ f t i s k a r
skeptískari	s c ɛ f t i s k a r ɪ
skeptískir	s c ɛ f t i s c ɪ r
skeptískt	s c ɛ f t i s t
skeptísku	s c ɛ f t i s k ʏ
skeptískum	s c ɛ f t i s k ʏ m
skeptískur	s c ɛ f t i s k ʏ r
sker	s c ɛː r
skera	s c ɛː r a
skerf	s c ɛ r f
skeri	s c ɛː r ɪ
skerið	s c ɛː r ɪ ð
skerjafirði	s c ɛ r j a f ɪ r ð ɪ
skerjafjarðarflugslysið	s c ɛ r j a f j a r ð a r f l ʏ x s t l ɪ s ɪ ð
skermur	s c ɛ r m ʏ r
skerpa	s c ɛ r̥ p a
skerpir	s c ɛ r̥ p ɪ r
skerpu	s c ɛ r̥ p ʏ
skerpudýpt	s c ɛ r̥ p ʏ t i f t
skert	s c ɛ r̥ t
skerta	s c ɛ r̥ t a
skertar	s c ɛ r̥ t a r
skertur	s c ɛ r̥ t ʏ r
skerða	s c ɛ r ð a
skerðast	s c ɛ r ð a s t
skerði	s c ɛ r ð ɪ
skerðing	s c ɛ r ð i ŋ k
skerðingar	s c ɛ r ð i ŋ k a r
skerðingin	s c ɛ r ð i ɲ c ɪ n
skerðingu	s c ɛ r ð i ŋ k ʏ
skerðingum	s c ɛ r ð i ŋ k ʏ m
skerðir	s c ɛ r ð ɪ r
skerðist	s c ɛ r ð ɪ s t
skessuhorn	s c ɛ s ʏ h ɔ r t n̥
skessuhorni	s c ɛ s ʏ h ɔ r t n ɪ
skessuhorns	s c ɛ s ʏ h ɔ r̥ s
skeyti	s c eiː t ɪ
skeð	s c ɛː ð
skeður	s c ɛː ð ʏ r
ski	s c iː
skikkanlega	s c ɪ h k a n l ɛ ɣ a
skikkanlegu	s c ɪ h k a n l ɛ ɣ ʏ
skil	s c ɪː l
skila	s c ɪː l a
skilaboð	s c ɪː l a p ɔ ð
skilaboðin	s c ɪː l a p ɔ ð ɪ n
skilaboðum	s c ɪː l a p ɔ ð ʏ m
skilaboðunum	s c ɪː l a p ɔ ð ɔ n ʏ m
skilafrests	s c ɪː l a f r ɛ s t s
skilanefnd	s c ɪː l a n ɛ m t
skilanefndar	s c ɪː l a n ɛ m t a r
skilar	s c ɪː l a r
skilað	s c ɪː l a ð
skilaði	s c ɪː l a ð ɪ
skildar	s c ɪ l t a r
skildi	s c ɪ l t ɪ
skildir	s c ɪ l t ɪ r
skildist	s c ɪ l t ɪ s t
skildu	s c ɪ l t ʏ
skildum	s c ɪ l t ʏ m
skilgreina	s c ɪ l k r ei n a
skilgreind	s c ɪ l k r ei n t
skilgreindar	s c ɪ l k r ei n t a r
skilgreindir	s c ɪ l k r ei n t ɪ r
skilgreindum	s c ɪ l k r ei n t ʏ m
skilgreindur	s c ɪ l k r ei n t ʏ r
skilgreining	s c ɪ l k r ei n i ŋ k
skilgreiningar	s c ɪ l k r ei n i ŋ k a r
skilgreiningin	s c ɪ l k r ei n i ɲ c ɪ n
skilgreiningu	s c ɪ l k r ei n i ŋ k ʏ
skilgreinir	s c ɪ l k r ei n ɪ r
skilgreint	s c ɪ l k r ei n̥ t
skili	s c ɪː l ɪ
skilin	s c ɪː l ɪ n
skilinn	s c ɪː l ɪ n
skilið	s c ɪː l ɪ ð
skilja	s c ɪ l j a
skiljanleg	s c ɪ l j a n l ɛ ɣ
skiljanlega	s c ɪ l j a n l ɛ ɣ a
skiljanlegt	s c ɪ l j a n l ɛ x t
skiljanlegur	s c ɪ l j a n l ɛ ɣ ʏ r
skilji	s c ɪ l j ɪ
skiljum	s c ɪ l j ʏ m
skilmerkilega	s c ɪ l m ɛ r̥ c ɪ l ɛ ɣ a
skilmála	s c ɪ l m au l a
skilmálar	s c ɪ l m au l a r
skilmáli	s c ɪ l m au l ɪ
skilmálum	s c ɪ l m au l ʏ m
skilnað	s c ɪ l n a ð
skilnaðar	s c ɪ l n a ð a r
skilnaði	s c ɪ l n a ð ɪ
skilnaðinn	s c ɪ l n a ð ɪ n
skilnaður	s c ɪ l n a ð ʏ r
skilning	s c ɪ l n i ŋ k
skilningi	s c ɪ l n i ɲ c ɪ
skilnings	s c ɪ l n i ŋ s
skilningsleysi	s c ɪ l n i ŋ s t l ei s ɪ
skilningsrík	s c ɪ l n i ŋ s r i k
skilningsríkur	s c ɪ l n i ŋ s r i k ʏ r
skilningsvana	s c ɪ l n i ŋ s v a n a
skilningur	s c ɪ l n i ŋ k ʏ r
skilorð	s c ɪː l ɔ r ð
skilorði	s c ɪː l ɔ r ð ɪ
skilorðsbinda	s c ɪː l ɔ r ð s p ɪ n t a
skilorðsbundinn	s c ɪː l ɔ r ð s p ʏ n t ɪ n
skilorðsbundið	s c ɪː l ɔ r ð s p ʏ n t ɪ ð
skilríki	s c ɪ l r i c ɪ
skilríkjum	s c ɪ l r i c ʏ m
skilst	s c ɪ l s t
skilti	s c ɪ l̥ t ɪ
skilum	s c ɪː l ʏ m
skilur	s c ɪː l ʏ r
skiluðu	s c ɪː l ʏ ð ʏ
skilvinduásnum	s c ɪ l v ɪ n t ʏ au s t n ʏ m
skilvirk	s c ɪ l v ɪ r̥ k
skilvirkara	s c ɪ l v ɪ r̥ k a r a
skilvirkari	s c ɪ l v ɪ r̥ k a r ɪ
skilvirkni	s c ɪ l v ɪ r̥ k n ɪ
skilvirkt	s c ɪ l v ɪ r̥ t
skilvirkur	s c ɪ l v ɪ r̥ k ʏ r
skilyrt	s c ɪː l ɪ r̥ t
skilyrða	s c ɪː l ɪ r ð a
skilyrði	s c ɪː l ɪ r ð ɪ
skilyrðin	s c ɪː l ɪ r ð ɪ n
skilyrðislaust	s c ɪː l ɪ r ð ɪ s l œy s t
skilyrðið	s c ɪː l ɪ r ð ɪ ð
skilyrðum	s c ɪː l ɪ r ð ʏ m
skimprófi	s c ɪː m pʰ r ou v ɪ
skimun	s c ɪː m ʏ n
skin	s c ɪː n
skinn	s c ɪ n
skinna	s c ɪ n a
skinni	s c ɪ n ɪ
skinnúlpu	s c ɪ n u l̥ p ʏ
skip	s c ɪː p
skipa	s c ɪː p a
skipan	s c ɪː p a n
skipanir	s c ɪː p a n ɪ r
skipanna	s c ɪː p a n a
skipar	s c ɪː p a r
skipaskurður	s c ɪː p a s k ʏ r ð ʏ r
skipasmiður	s c ɪː p a s m ɪ ð ʏ r
skipast	s c ɪː p a s t
skipað	s c ɪː p a ð
skipaðar	s c ɪː p a ð a r
skipaði	s c ɪː p a ð ɪ
skipaðir	s c ɪː p a ð ɪ r
skipaðs	s c ɪː p a ð s
skipaður	s c ɪː p a ð ʏ r
skipholti	s c ɪ p h ɔ l̥ t ɪ
skipholts	s c ɪː p h ɔ l̥ t s
skipi	s c ɪː p ɪ
skipin	s c ɪː p ɪ n
skipinu	s c ɪː p ɪ n ʏ
skipið	s c ɪː p ɪ ð
skiprúm	s c ɪː p r u m
skips	s c ɪ p s
skipsins	s c ɪ p s ɪ n s
skipst	s c ɪ p s t
skipstjóra	s c ɪ p s t j ou r a
skipstjórar	s c ɪ p s t j ou r a r
skipstjóri	s c ɪ p s t j ou r ɪ
skipstjórinn	s c ɪ p s t j ou r ɪ n
skipt	s c ɪ f t
skipta	s c ɪ f t a
skiptanna	s c ɪ f t a n a
skiptar	s c ɪ f t a r
skiptara	s c ɪ f t a r a
skiptast	s c ɪ f t a s t
skiptastjóra	s c ɪ f t a s t j ou r a
skiptastjóri	s c ɪ f t a s t j ou r ɪ
skipti	s c ɪ f t ɪ
skiptiborð	s c ɪ f t ɪ p ɔ r ð
skiptin	s c ɪ f t ɪ n
skiptinemi	s c ɪ f t ɪ n ɛ m ɪ
skipting	s c ɪ f t i ŋ k
skiptingar	s c ɪ f t i ŋ k a r
skiptingin	s c ɪ f t i ɲ c ɪ n
skiptingu	s c ɪ f t i ŋ k ʏ
skiptinguna	s c ɪ f t i ŋ k ʏ n a
skiptingunni	s c ɪ f t i ŋ k ʏ n ɪ
skiptir	s c ɪ f t ɪ r
skiptis	s c ɪ f t ɪ s
skiptist	s c ɪ f t ɪ s t
skiptivélin	s c ɪ f t ɪ v j ɛ l ɪ n
skiptið	s c ɪ f t ɪ ð
skiptu	s c ɪ f t ʏ
skiptumst	s c ɪ f t ʏ m s t
skiptust	s c ɪ f t ʏ s t
skipulag	s c ɪː p ʏ l a ɣ
skipulagi	s c ɪː p ʏ l ai j ɪ
skipulaginu	s c ɪː p ʏ l ai j ɪ n ʏ
skipulagið	s c ɪː p ʏ l ai j ɪ ð
skipulagning	s c ɪː p ʏ l a k n i ŋ k
skipulagningu	s c ɪː p ʏ l a k n i ŋ k ʏ
skipulags	s c ɪː p ʏ l a x s
skipulagsbreytingar	s c ɪː p ʏ l a x s p r ei t i ŋ k a r
skipulagslaga	s c ɪː p ʏ l a x s t l a ɣ a
skipulagsmál	s c ɪː p ʏ l a x s m au l
skipulagsmálum	s c ɪː p ʏ l a x s m au l ʏ m
skipulagsnefnd	s c ɪː p ʏ l a x s t n ɛ m t
